53053,"THẦN KINH NON NƯỚC HỮU TÌNH","Cố Đô bấy lâu tôi không trở về, Thiên Mụ hồi chuông...",Khánh Băng
53054,"THẬT KHÓ NÓI LỜI CHIA TAY","Đừng nhìn anh nữa nhé em, khiến bao lời muốn nói...",Phạm Khánh Hưng
52681,"THẬT LÒNG EM KHÔNG MUỐN THẾ","Này người tình đã xa mãi, thật lòng này xin lỗi anh...",Nguyên Chấn Phong
52421,"THẬT LÒNG PHẢI NÓI XA EM","Anh phải rời xa em thôi, cuộc tình gian dối...",Lê Quốc Dũng
52420,"THẬT LÒNG","Chuyện tình yêu ai đâu biết ngày mai sẽ chia hai...",Nhất Trung
50487,"THẤT TÌNH","Hỡi người yêu trái tim anh...",Nhạc Hoa
55421,"THẬT TÌNH ANH KHÔNG BIẾT","La la la...sớm mai thức dậy nàng đã đi mất rồi...",Thái Thịnh - Triệu Hoàng
52819,"THẦY TÔI","Một mái tranh, một tấm lòng, thầy mang ra ngoại thành...",Lê Văn Lộc
53199,"THĂM HUẾ","Niềm thương mến xin trao cho Huế...",Tô Thanh Tùng
54576,"THĂNG LONG HÀNH KHÚC","Cùng ngước mắt về phương Thăng Long thành cao đứng trong...","Nhạc: Văn Cao, Lời: Đỗ Hữu Ích"
54577,"THĂNG LONG KHÁT VỌNG NGÀN NĂM","Hơ ơ hơ... Thăng Long ơi Đông Đô ngàn năm, Thăng Long ơi...",Lê Quang
50380,"THĂNG TRẦM","Cuộc đời rồi có những lúc lầm than ...",Nhạc ngoại
54337,"THANH NIÊN HÁT VỀ ĐẢNG","Vào lúc con thuyền ra khơi đã rằng vững lái...",Phó Đức Phương
53803,"THANH NIÊN LÀM THEO LỜI BÁC","Kết liên lại thanh niên chúng ta cùng nhau đi lên ...",Hoàng Hòa
51945,"THANH NIÊN VÌ NGÀY MAI","Dù lên rừng hay xuống biển...",Phạm Đăng Khương
54338,"THANH NIÊN VIỆT NAM","Từ Lạng Sơn cho đến Cà Mau, từ đảo xa cho đến rừng sâu...",Phạm Đăng Khương
51448,"THANH NIÊN XUNG PHONG","Là thanh niên xung phong...",Phan Huỳnh Điểu
51015,"THAO THỨC VÌ EM (EM LÀ TẤT CẢ)","Em ơi suốt đêm thao thức...",Lam Phương
53627,"THẦM MONG ANH QUAY VỀ BÊN EM","Một lần lầm lỡ người ơi trót mang trong anh những nghi ngờ...",Anh Tuấn
53487,"THĂM BẾN NHÀ RỒNG","Hò ơ ơ ớ ơ ai về Thủ Thiêm, ai qua Bến Nghé...",Trần Hoàn
53804,"THANH SÔ CÔ LA GHÉP ĐÔI","Bên hiên mưa phùn giăng mắc, nghe như mơ hồ vây kín ...",Nguyễn Hoàng Linh
53949,"THÀNH PHỐ BUỒN","Thành phố nào nhớ không em, nơi chúng mình...",Lam Phương
50714,"THÀNH PHỐ CỎ NON","Cảm ơn chú bé đuổi dế ven đường...",Nguyễn Ngọc Thiện
51291,"THÀNH PHỐ CỦA TÔI","Thành phố Hồ Chí Minh...",Phan Nhân
55116,"THÀNH PHỐ ĐẦU XUÂN","Thành phố sớm mai, nắng soi dịu dàng...",Lê Chí Hiếu
50799,"THÀNH PHỐ HOA PHƯỢNG ĐỎ","Tháng năm rợp trời hoa phượng đỏ...",Lương Vĩnh - Hải Như
52283,"THÀNH PHỐ KHÔNG CÓ MÙA ĐÔNG","Thành phố không có mùa đông, nắng hồng hồng trên...",Phan Long
55117,"THÀNH PHỐ KỶ NIỆM","Bước chân lãng du khắp chốn, hôm qua mới quay về...",Trần Minh Phi
53486,"THÀNH PHỐ MÀU XANH","Ta yêu thành phố màu xanh, thắp lên giọt nắng long lanh...",Trần Xuân Tiến
51874,"THÀNH PHỐ MÂY BAY","Tôi trở lại thăm dòng thác Cam Ly...",Sông Trà
50063,"THÀNH PHỐ MƯA BAY","Có những chiều thành phố mưa bay...",Bằng Giang
